variant,seed,method_id,method_key,agent_id,step_index,time,x_m,y_m
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,18,0.31666666666666665,-5.2157146913221375,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,18,0.31666666666666665,5.292213438174538,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,19,0.3333333333333333,-5.190605340322165,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,19,0.3333333333333333,5.271130337008902,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,20,0.35,-5.165495989322192,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,20,0.35,5.250047235843266,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,21,0.36666666666666664,-5.140386638322219,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,21,0.36666666666666664,5.22896413467763,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,22,0.3833333333333333,-5.115277287322247,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,22,0.3833333333333333,5.2078810335119945,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,23,0.4,-5.090167936322274,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,23,0.4,5.186797932346359,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,24,0.4166666666666667,-5.065058585322301,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,24,0.4166666666666667,5.165714831180723,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,25,0.43333333333333335,-5.039949234322329,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,25,0.43333333333333335,5.144631730015087,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,26,0.45,-5.014839883322356,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,26,0.45,5.123548628849451,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,27,0.4666666666666667,-4.989730532322383,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,27,0.4666666666666667,5.102465527683815,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,28,0.48333333333333334,-4.964621181322411,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,28,0.48333333333333334,5.0813824265181795,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,29,0.5,-4.939511830322438,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,29,0.5,5.060299325352544,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,30,0.5166666666666666,-4.914402479322465,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,30,0.5166666666666666,5.039216224186908,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,31,0.5333333333333333,-4.8892931283224925,-0.0696612748131156
