method_id,method_key,population,median_wall_clock_seconds,first_quartile_seconds,third_quartile_seconds,interquartile_range_seconds,median_agent_steps_per_second
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,50,0.7250588000000002,0.6845094999999999,0.7485475000000001,0.06403800000000026,41375.95461223282
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,100,1.7214945000000006,1.7102476000000024,1.7403684999999969,0.030120899999994455,34853.436940983534
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,200,4.782494800000015,4.532023199999996,4.9331685,0.40114530000000403,25091.50663373426
euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,50,1.1463341999999994,1.0773562,1.4784970999999987,0.4011408999999986,26170.378585930714
euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,100,1.2415362000000023,1.2335348000000086,1.2755804000000062,0.042045599999997574,48327.22557747401
euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,200,3.9132163,3.905810299999983,3.9141408999999987,0.008330600000015842,30665.31231611194
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,50,1.8944362000000001,1.809400600000001,2.2733880999999965,0.46398749999999556,15835.84604221562
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,100,2.053125800000009,1.975424100000004,2.0944006999999982,0.11897659999999433,29223.73290521201
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,200,4.186945700000011,4.135567699999985,4.193432400000019,0.0578647000000343,28660.510213925074
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,50,6.518855499999998,6.507102000000006,6.931977100000004,0.42487509999999773,4602.034820376063
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,100,10.119252299999992,9.801890000000014,10.148449900000006,0.3465598999999919,5929.291831176109
social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,200,23.601789899999975,23.460556500000006,23.771493900000003,0.3109373999999967,5084.360148464847
