methodId,methodKey,engineId,upstreamCommit,repositoryCommit,freezeManifestSha256,scenarioSet,metric,unit,scope,estimator,estimate,confidenceLower,confidenceUpper,contributingScenarios,bootstrapReplicates
euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,normalized_travel_time,ratio conditional on success,overall,median,1.4451392444438633,1.4149420392494734,1.4635743829718848,258,10000
euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,path_ratio,path length / straight-line distance,overall,median,0.9608856725971852,0.9596654481864544,0.9625860499025096,258,10000
euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,rms_acceleration,m/s^2,overall,median,4.30329595731733,4.2430312121912035,4.357487887217792,290,10000
euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,rms_jerk,m/s^3,overall,median,322.30946490095823,317.632677331454,326.5490988504521,290,10000
euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,correction_ratio,ratio,overall,median,0.8443664390937509,0.8220157659049478,0.8872454609074647,290,10000
euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_bottleneck,throughput,agents/s,bottleneck,mean,0.19333333333333333,0.17416666666666666,0.21249999999999994,30,10000
euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_pairwise,avoidance_onset_rate,fraction,pairwise,mean,0,0,0,200,10000
euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_pairwise,ttc_at_onset,s,pairwise,median,,,,0,0
euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_pairwise,minimum_pre_correction_physical_clearance,m,pairwise,median,0.21204232296697856,0.20352892411490514,0.22895384111638023,200,10000
euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_pairwise,minimum_post_correction_physical_clearance,m,pairwise,median,0.23213372962860773,0.22366969369470824,0.24923017387839802,200,10000
