proposedMethodId,proposedMethodKey,comparatorMethodId,comparatorMethodKey,metric,unit,scope,differenceDefinition,proposedEstimate,comparatorEstimate,pairedDifference,confidenceLower,confidenceUpper,pairedScenarioCount,bootstrapReplicates,freezeManifestSha256
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,maximum_pre_correction_penetration,m,overall,Conditioned Riemannian minus comparator,0.05728378639842796,0.012502733305483932,0.04478105309294403,0.04273006845297679,0.04746712549047206,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,normalized_travel_time,ratio conditional on success,overall,Conditioned Riemannian minus comparator,1.496785546940881,1.3611222077372542,0.13566333920362683,0.1072807970552836,0.17979690994879882,254,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,path_ratio,path length / straight-line distance,overall,Conditioned Riemannian minus comparator,0.967598165269069,0.9468708785655537,0.020727286703515313,0.012450376151102338,0.027560241461289436,254,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,rms_acceleration,m/s^2,overall,Conditioned Riemannian minus comparator,2.7922436990767885,1.6598702820828577,1.1323734169939308,1.0459951721821235,1.1739205537918715,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,rms_jerk,m/s^3,overall,Conditioned Riemannian minus comparator,194.61307769915254,98.67220592946437,95.94087176968817,89.80524406171381,100.04145426279156,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,correction_ratio,ratio,overall,Conditioned Riemannian minus comparator,0.8298402274298522,0,0.8298402274298522,0.8169947340795987,0.922815305971927,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,throughput,agents/s,bottleneck,Conditioned Riemannian minus comparator,0.18416666666666665,0.055833333333333325,0.12833333333333333,0.1066666666666666,0.14916666666666661,30,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,avoidance_onset_rate,fraction,pairwise,Conditioned Riemannian minus comparator,0.525,0.515,0.010000000000000009,-0.015000000000000013,0.03500000000000003,200,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,ttc_at_onset,s,pairwise,Conditioned Riemannian minus comparator,,,,,,109,0,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,minimum_pre_correction_physical_clearance,m,pairwise,Conditioned Riemannian minus comparator,0.22329395165846336,0.23141422829469804,-0.008120276636234686,-0.00834770982765809,-0.007703982156504641,200,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
