family,methodId,methodKey,engineId,upstreamCommit,metric,unit,estimator,estimate,contributingScenarios,freezeManifestSha256
bidirectional,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,scientific_core_engine_v1,,normalized_travel_time,ratio conditional on success,median,1.6911813853091402,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,scientific_core_engine_v1,,path_ratio,path length / straight-line distance,median,0.9497678471594764,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,scientific_core_engine_v1,,rms_acceleration,m/s^2,median,2.3777326800495153,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,scientific_core_engine_v1,,rms_jerk,m/s^3,median,165.42312246394403,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,scientific_core_engine_v1,,correction_ratio,ratio,median,0.9987358584964185,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,scientific_core_engine_v1,,success_fraction,fraction,mean,0.03288690476190476,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,scientific_core_engine_v1,,pre_correction_overlap_exposure,pair-s per agent-s,mean,0.9934471106150795,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,scientific_core_engine_v1,,maximum_pre_correction_penetration,m,median,0.08606413103657207,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,scientific_core_engine_v1,,normalized_travel_time,ratio conditional on success,median,1.6082403108276744,29,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,scientific_core_engine_v1,,path_ratio,path length / straight-line distance,median,0.9813114211483878,29,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
